יום,שעה,פעילות,הסברים
24.11,9:00,יציאה מ-Osaka Excel Hotel Tokyu,"יוצאים רק עם תיקי יום, המזוודות כבר בדרך לטוקיו."
,09:00-09:25,מונית ל-Shin-Osaka Station,התחלה רגועה בלי לחץ.
,09:25-10:00,קפה / בנטו / התארגנות,קונים אוכל לרכבת ומתמקמים.
,~10:00-12:30,Nozomi Shinkansen לטוקיו,"הדרך המהירה ביותר בין אוסקה לטוקיו, כ-2.5 שעות."
,12:30-13:00,Tokyo Station (Marunouchi Side),הבניין ההיסטורי המרשים של התחנה והתחלת פרק טוקיו.
,13:15-14:30,Tsukishima Monja Tamatoya Tokyo Station,"חוויית Monjayaki מקומית, ארוחת צהריים קבוצתית כיפית ל-6 אנשים."
,14:30-15:15,Marunouchi Area,"רחובות יפים, בנייני עסקים יוקרתיים ואווירת מרכז טוקיו."
,15:15-15:30,Nissan Crossing,"עצירה קצרה, רואים רכבי קונספט וטכנולוגיה יפנית."
,15:30-16:15,Ginza Six Rooftop Garden,גג יפה עם מבט על גינזה.
,16:15-18:00,Ginza Walk,"חנויות דגל, רחובות יוקרה, בתי קפה ואווירת טוקיו."
,18:00-18:45,Check-in ב-remm Plus Ginza,"מנוחה, מקלחת והחלפת בגדים לפני ערב ארוך."
,19:15-19:30,הליכה למסעדה,הכול במרחק הליכה מהמלון.
,19:30-21:00,Akita Dining Namahage,אוכל יפני אזורי ואווירה מסורתית מיוחדת.
,21:00-23:00,Ginza Music Bar / Cocktail Bar,"ערב רגוע של מוזיקה, קוקטיילים וסיום יום ההגעה."
,23:00,חזרה למלון,הליכה קצרה חזרה ל-remm Plus Ginza.
יום,שעה,פעילות,הסברים
25.11,9:00,יציאה מ-remm Plus Ginza,נסיעה לכיוון Harajuku
,09:40-11:00,Meiji Jingu,"אחד המקדשים החשובים ביפן, יער ענק בלב העיר"
,11:00-11:40,Takeshita Street,"חוויית Harajuku צבעונית, אופנה ותרבות רחוב"
,11:40-13:00,Omotesando + Cat Street,"הרחובות הכי יפים באזור, אדריכלות, בתי קפה וחנויות מיוחדות"
,13:00-14:15,Lunch,ארוחה רגועה באזור Omotesando
,14:15-15:30,Shibuya PARCO,"Nintendo Store, Pokémon Center, Capcom Store, Jump Shop, קניות מסוג שאין בגינזה"
,15:30-15:50,מעבר ל-Shibuya Sky,להגיע רגוע לפני התור
,16:00-17:15,Shibuya Sky,יום + שקיעה + אורות העיר. בעיני אחד ההיילייטים הגדולים בטוקיו
